id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
206,TCKT-10206,High,Open,Security,Laptop not starting,Issue details for ticket 206,2025-03-14,2025-03-23,tech14,2025-03-14 07:17:11
207,TCKT-10207,High,Open,Hardware,Password reset,Issue details for ticket 207,2025-03-20,2025-04-09,tech18,2025-03-20 07:17:11
208,TCKT-10208,Low,In Progress,Hardware,Account locked,Issue details for ticket 208,2025-08-03,2025-08-16,tech31,2025-08-03 07:17:11
209,TCKT-10209,Low,In Progress,Hardware,System slow,Issue details for ticket 209,2024-12-25,,tech1,2024-12-25 07:17:11
210,TCKT-10210,Medium,In Progress,Network,System slow,Issue details for ticket 210,2025-10-04,2025-10-05,tech35,2025-10-04 07:17:11
211,TCKT-10211,Urgent,Closed,Software,Application crash,Issue details for ticket 211,2025-08-18,,tech20,2025-08-18 07:17:11
212,TCKT-10212,Medium,Open,Hardware,Password reset,Issue details for ticket 212,2025-07-29,2025-08-01,tech5,2025-07-29 07:17:11
213,TCKT-10213,Urgent,Closed,Hardware,Laptop not starting,Issue details for ticket 213,2025-06-21,,tech21,2025-06-21 07:17:11
214,TCKT-10214,High,Resolved,Network,VPN issue,Issue details for ticket 214,2025-03-23,2025-04-03,tech34,2025-03-23 07:17:11
215,TCKT-10215,Medium,Closed,Network,WiFi down,Issue details for ticket 215,2025-09-15,,tech40,2025-09-15 07:17:11
216,TCKT-10216,Medium,Resolved,Software,Email not syncing,Issue details for ticket 216,2025-06-14,2025-06-15,tech25,2025-06-14 07:17:11
217,TCKT-10217,Low,Open,Access,WiFi down,Issue details for ticket 217,2025-01-04,2025-01-05,tech16,2025-01-04 07:17:11
218,TCKT-10218,Medium,Closed,Software,Laptop not starting,Issue details for ticket 218,2025-02-18,,tech8,2025-02-18 07:17:11
219,TCKT-10219,Low,Closed,Hardware,System slow,Issue details for ticket 219,2025-07-29,2025-08-07,tech34,2025-07-29 07:17:11
220,TCKT-10220,Low,Closed,Security,Email not syncing,Issue details for ticket 220,2025-05-07,2025-05-19,tech22,2025-05-07 07:17:11
221,TCKT-10221,Low,Open,Software,Email not syncing,Issue details for ticket 221,2025-03-28,,tech4,2025-03-28 07:17:11
222,TCKT-10222,Medium,Resolved,Software,Account locked,Issue details for ticket 222,2025-11-21,2025-12-03,tech14,2025-11-21 07:17:11
223,TCKT-10223,Low,Resolved,Software,VPN issue,Issue details for ticket 223,2025-09-10,2025-09-26,tech30,2025-09-10 07:17:11
224,TCKT-10224,Urgent,In Progress,Access,Password reset,Issue details for ticket 224,2025-04-23,2025-05-10,tech20,2025-04-23 07:17:11
225,TCKT-10225,Medium,Resolved,Software,Account locked,Issue details for ticket 225,2024-12-29,2025-01-04,tech10,2024-12-29 07:17:11
226,TCKT-10226,Low,Closed,Hardware,Laptop not starting,Issue details for ticket 226,2025-05-01,,tech2,2025-05-01 07:17:11
227,TCKT-10227,Low,Open,Access,System slow,Issue details for ticket 227,2025-03-10,2025-03-19,tech6,2025-03-10 07:17:11
228,TCKT-10228,Medium,In Progress,Hardware,WiFi down,Issue details for ticket 228,2025-05-11,,tech4,2025-05-11 07:17:11
229,TCKT-10229,Urgent,Resolved,Software,Password reset,Issue details for ticket 229,2025-06-30,2025-07-03,tech22,2025-06-30 07:17:11
230,TCKT-10230,Urgent,Closed,Network,VPN issue,Issue details for ticket 230,2025-07-25,2025-08-13,tech16,2025-07-25 07:17:11
231,TCKT-10231,Medium,In Progress,Software,Application crash,Issue details for ticket 231,2025-06-20,2025-06-23,tech36,2025-06-20 07:17:11
232,TCKT-10232,Medium,Open,Software,Application crash,Issue details for ticket 232,2025-10-17,2025-10-29,tech12,2025-10-17 07:17:11
233,TCKT-10233,High,In Progress,Network,System slow,Issue details for ticket 233,2025-07-31,2025-08-16,tech3,2025-07-31 07:17:11
234,TCKT-10234,Urgent,Open,Access,Password reset,Issue details for ticket 234,2025-01-08,2025-01-25,tech27,2025-01-08 07:17:11
235,TCKT-10235,Medium,Resolved,Software,System slow,Issue details for ticket 235,2025-01-28,,tech11,2025-01-28 07:17:11
236,TCKT-10236,High,Closed,Hardware,WiFi down,Issue details for ticket 236,2024-12-12,2024-12-29,tech31,2024-12-12 07:17:11
237,TCKT-10237,Low,Open,Software,Account locked,Issue details for ticket 237,2025-06-01,2025-06-16,tech23,2025-06-01 07:17:11
238,TCKT-10238,Low,In Progress,Access,VPN issue,Issue details for ticket 238,2025-08-05,2025-08-16,tech2,2025-08-05 07:17:11
239,TCKT-10239,Low,In Progress,Network,VPN issue,Issue details for ticket 239,2025-07-31,2025-08-16,tech16,2025-07-31 07:17:11
240,TCKT-10240,High,Closed,Security,VPN issue,Issue details for ticket 240,2025-06-05,2025-06-09,tech33,2025-06-05 07:17:11
241,TCKT-10241,Medium,In Progress,Software,Laptop not starting,Issue details for ticket 241,2025-07-10,2025-07-27,tech22,2025-07-10 07:17:11
242,TCKT-10242,Urgent,Closed,Access,Password reset,Issue details for ticket 242,2024-12-22,2024-12-26,tech1,2024-12-22 07:17:11
243,TCKT-10243,High,Open,Hardware,System slow,Issue details for ticket 243,2025-02-10,2025-02-16,tech19,2025-02-10 07:17:11
244,TCKT-10244,High,Open,Security,Email not syncing,Issue details for ticket 244,2025-04-07,2025-04-09,tech3,2025-04-07 07:17:11
245,TCKT-10245,Low,In Progress,Security,WiFi down,Issue details for ticket 245,2025-08-31,2025-09-07,tech9,2025-08-31 07:17:11
246,TCKT-10246,Urgent,Resolved,Security,Email not syncing,Issue details for ticket 246,2025-04-20,2025-05-07,tech35,2025-04-20 07:17:11
247,TCKT-10247,Low,In Progress,Security,System slow,Issue details for ticket 247,2025-09-23,2025-09-27,tech4,2025-09-23 07:17:11
248,TCKT-10248,Urgent,Closed,Hardware,Account locked,Issue details for ticket 248,2025-03-03,2025-03-15,tech25,2025-03-03 07:17:11
249,TCKT-10249,High,Open,Security,Password reset,Issue details for ticket 249,2025-07-27,,tech32,2025-07-27 07:17:11
250,TCKT-10250,Urgent,In Progress,Security,Application crash,Issue details for ticket 250,2025-11-17,,tech6,2025-11-17 07:17:11
251,TCKT-10251,High,Closed,Hardware,System slow,Issue details for ticket 251,2025-01-19,,tech10,2025-01-19 07:17:11
252,TCKT-10252,Low,Open,Security,System slow,Issue details for ticket 252,2025-05-28,2025-06-05,tech8,2025-05-28 07:17:11
253,TCKT-10253,Low,Open,Network,System slow,Issue details for ticket 253,2025-03-30,,tech22,2025-03-30 07:17:11
254,TCKT-10254,Medium,Open,Hardware,Password reset,Issue details for ticket 254,2025-06-30,2025-07-20,tech18,2025-06-30 07:17:11
255,TCKT-10255,Medium,In Progress,Hardware,WiFi down,Issue details for ticket 255,2025-10-25,2025-11-02,tech21,2025-10-25 07:17:11
256,TCKT-10256,Medium,In Progress,Security,Account locked,Issue details for ticket 256,2025-06-20,2025-07-10,tech13,2025-06-20 07:17:11
257,TCKT-10257,Urgent,Closed,Security,Laptop not starting,Issue details for ticket 257,2025-04-11,2025-04-14,tech23,2025-04-11 07:17:11
258,TCKT-10258,High,Resolved,Hardware,WiFi down,Issue details for ticket 258,2025-02-17,2025-03-07,tech6,2025-02-17 07:17:11
259,TCKT-10259,Urgent,Closed,Hardware,Laptop not starting,Issue details for ticket 259,2024-12-09,,tech25,2024-12-09 07:17:11
260,TCKT-10260,Urgent,Closed,Access,Password reset,Issue details for ticket 260,2024-12-10,2024-12-23,tech13,2024-12-10 07:17:11
261,TCKT-10261,High,Open,Hardware,Laptop not starting,Issue details for ticket 261,2025-01-05,2025-01-07,tech38,2025-01-05 07:17:11
262,TCKT-10262,Urgent,Open,Network,WiFi down,Issue details for ticket 262,2025-06-03,,tech39,2025-06-03 07:17:11
263,TCKT-10263,Medium,Resolved,Hardware,System slow,Issue details for ticket 263,2025-08-17,2025-08-30,tech24,2025-08-17 07:17:11
264,TCKT-10264,High,Open,Security,Password reset,Issue details for ticket 264,2025-05-31,2025-06-08,tech4,2025-05-31 07:17:11
265,TCKT-10265,Low,Resolved,Network,Application crash,Issue details for ticket 265,2025-10-10,2025-10-29,tech2,2025-10-10 07:17:11
266,TCKT-10266,Low,In Progress,Network,Account locked,Issue details for ticket 266,2025-11-01,2025-11-21,tech36,2025-11-01 07:17:11
267,TCKT-10267,Low,In Progress,Security,Laptop not starting,Issue details for ticket 267,2025-06-10,2025-06-24,tech21,2025-06-10 07:17:11
268,TCKT-10268,Medium,Closed,Software,WiFi down,Issue details for ticket 268,2025-03-29,2025-04-11,tech18,2025-03-29 07:17:11
269,TCKT-10269,Medium,Resolved,Access,Account locked,Issue details for ticket 269,2025-02-23,2025-03-15,tech39,2025-02-23 07:17:11
270,TCKT-10270,Urgent,Open,Security,Application crash,Issue details for ticket 270,2025-08-11,2025-08-27,tech34,2025-08-11 07:17:11
271,TCKT-10271,Urgent,Open,Software,WiFi down,Issue details for ticket 271,2025-01-21,2025-01-30,tech35,2025-01-21 07:17:11
272,TCKT-10272,Medium,In Progress,Hardware,Application crash,Issue details for ticket 272,2025-08-02,,tech4,2025-08-02 07:17:11
273,TCKT-10273,Low,Open,Network,Laptop not starting,Issue details for ticket 273,2025-04-27,2025-05-13,tech3,2025-04-27 07:17:11
274,TCKT-10274,Urgent,Open,Network,Account locked,Issue details for ticket 274,2025-01-15,2025-01-16,tech21,2025-01-15 07:17:11
275,TCKT-10275,Low,Open,Security,System slow,Issue details for ticket 275,2025-06-01,2025-06-21,tech2,2025-06-01 07:17:11
276,TCKT-10276,Urgent,Open,Network,Email not syncing,Issue details for ticket 276,2025-01-30,,tech26,2025-01-30 07:17:11
277,TCKT-10277,High,In Progress,Software,Account locked,Issue details for ticket 277,2025-07-08,2025-07-18,tech23,2025-07-08 07:17:11
278,TCKT-10278,High,Resolved,Security,Account locked,Issue details for ticket 278,2025-02-25,,tech16,2025-02-25 07:17:11
279,TCKT-10279,Medium,Closed,Network,Email not syncing,Issue details for ticket 279,2025-03-05,2025-03-17,tech28,2025-03-05 07:17:11
280,TCKT-10280,Urgent,Open,Hardware,Laptop not starting,Issue details for ticket 280,2025-05-25,2025-05-30,tech35,2025-05-25 07:17:11
281,TCKT-10281,High,Resolved,Security,Email not syncing,Issue details for ticket 281,2025-04-27,2025-05-04,tech2,2025-04-27 07:17:11
282,TCKT-10282,Urgent,Resolved,Software,Application crash,Issue details for ticket 282,2025-05-20,,tech9,2025-05-20 07:17:11
283,TCKT-10283,High,Resolved,Software,Password reset,Issue details for ticket 283,2024-12-21,2025-01-06,tech25,2024-12-21 07:17:11
284,TCKT-10284,Low,Resolved,Security,Account locked,Issue details for ticket 284,2025-01-02,2025-01-18,tech21,2025-01-02 07:17:11
285,TCKT-10285,Low,In Progress,Access,Laptop not starting,Issue details for ticket 285,2025-05-11,2025-05-23,tech28,2025-05-11 07:17:11
286,TCKT-10286,Urgent,Resolved,Software,Email not syncing,Issue details for ticket 286,2025-03-22,,tech34,2025-03-22 07:17:11
287,TCKT-10287,Medium,In Progress,Software,System slow,Issue details for ticket 287,2025-08-24,2025-09-01,tech1,2025-08-24 07:17:11
288,TCKT-10288,Low,Resolved,Security,Password reset,Issue details for ticket 288,2025-07-31,2025-08-07,tech7,2025-07-31 07:17:11
289,TCKT-10289,Medium,Open,Security,Password reset,Issue details for ticket 289,2024-12-28,2025-01-02,tech3,2024-12-28 07:17:11
290,TCKT-10290,Urgent,Open,Access,Account locked,Issue details for ticket 290,2025-02-01,2025-02-10,tech40,2025-02-01 07:17:11
291,TCKT-10291,Medium,In Progress,Software,System slow,Issue details for ticket 291,2025-05-19,2025-05-25,tech30,2025-05-19 07:17:11
292,TCKT-10292,High,Resolved,Access,Account locked,Issue details for ticket 292,2025-01-01,2025-01-05,tech17,2025-01-01 07:17:11
293,TCKT-10293,High,Closed,Access,WiFi down,Issue details for ticket 293,2025-01-20,2025-01-25,tech11,2025-01-20 07:17:11
294,TCKT-10294,Low,Closed,Network,Password reset,Issue details for ticket 294,2025-07-08,2025-07-14,tech24,2025-07-08 07:17:11
295,TCKT-10295,Medium,Resolved,Security,Laptop not starting,Issue details for ticket 295,2025-11-18,,tech24,2025-11-18 07:17:11
296,TCKT-10296,Low,Resolved,Security,WiFi down,Issue details for ticket 296,2025-11-25,2025-11-29,tech11,2025-11-25 07:17:11
297,TCKT-10297,Urgent,Resolved,Software,Email not syncing,Issue details for ticket 297,2025-04-25,2025-05-05,tech26,2025-04-25 07:17:11
298,TCKT-10298,Low,Open,Software,WiFi down,Issue details for ticket 298,2025-11-30,2025-12-11,tech9,2025-11-30 07:17:11
299,TCKT-10299,Urgent,In Progress,Access,Password reset,Issue details for ticket 299,2025-11-14,2025-11-26,tech8,2025-11-14 07:17:11
300,TCKT-10300,Urgent,Resolved,Hardware,VPN issue,Issue details for ticket 300,2025-02-18,,tech11,2025-02-18 07:17:11
301,TCKT-10301,Low,Open,Hardware,Laptop not starting,Issue details for ticket 301,2025-10-18,2025-11-02,tech31,2025-10-18 07:17:11
302,TCKT-10302,High,Closed,Hardware,Email not syncing,Issue details for ticket 302,2025-07-12,2025-07-21,tech28,2025-07-12 07:17:11
303,TCKT-10303,Low,Closed,Software,VPN issue,Issue details for ticket 303,2025-05-10,2025-05-20,tech32,2025-05-10 07:17:11
304,TCKT-10304,High,Closed,Software,Account locked,Issue details for ticket 304,2025-04-26,2025-05-16,tech24,2025-04-26 07:17:11
305,TCKT-10305,Urgent,Resolved,Software,Password reset,Issue details for ticket 305,2025-04-01,2025-04-18,tech32,2025-04-01 07:17:11
306,TCKT-10306,High,Closed,Hardware,Password reset,Issue details for ticket 306,2025-01-13,2025-01-26,tech2,2025-01-13 07:17:11
307,TCKT-10307,Urgent,Open,Software,Application crash,Issue details for ticket 307,2025-11-03,2025-11-10,tech38,2025-11-03 07:17:11
308,TCKT-10308,High,Closed,Network,Application crash,Issue details for ticket 308,2025-01-13,2025-01-14,tech33,2025-01-13 07:17:11
309,TCKT-10309,Medium,Closed,Security,Email not syncing,Issue details for ticket 309,2025-08-21,2025-09-07,tech31,2025-08-21 07:17:11
310,TCKT-10310,High,In Progress,Access,Password reset,Issue details for ticket 310,2025-08-29,2025-09-18,tech8,2025-08-29 07:17:11
311,TCKT-10311,Urgent,Open,Hardware,Laptop not starting,Issue details for ticket 311,2025-10-23,2025-11-10,tech30,2025-10-23 07:17:11
312,TCKT-10312,High,Closed,Hardware,Application crash,Issue details for ticket 312,2025-02-28,,tech13,2025-02-28 07:17:11
313,TCKT-10313,Urgent,Resolved,Software,VPN issue,Issue details for ticket 313,2025-06-06,2025-06-10,tech19,2025-06-06 07:17:11
314,TCKT-10314,Urgent,Resolved,Network,WiFi down,Issue details for ticket 314,2025-11-09,2025-11-16,tech8,2025-11-09 07:17:11
315,TCKT-10315,Medium,Open,Hardware,WiFi down,Issue details for ticket 315,2025-07-19,2025-07-29,tech24,2025-07-19 07:17:11
316,TCKT-10316,High,Closed,Network,Laptop not starting,Issue details for ticket 316,2025-07-09,2025-07-27,tech14,2025-07-09 07:17:11
317,TCKT-10317,Medium,Open,Software,System slow,Issue details for ticket 317,2025-09-16,,tech33,2025-09-16 07:17:11
318,TCKT-10318,Urgent,Resolved,Hardware,WiFi down,Issue details for ticket 318,2025-10-01,,tech12,2025-10-01 07:17:11
319,TCKT-10319,Low,In Progress,Network,Email not syncing,Issue details for ticket 319,2025-05-21,2025-05-26,tech3,2025-05-21 07:17:11
320,TCKT-10320,High,Resolved,Security,Password reset,Issue details for ticket 320,2025-08-20,,tech21,2025-08-20 07:17:11
321,TCKT-10321,Low,In Progress,Access,Laptop not starting,Issue details for ticket 321,2025-11-10,2025-11-24,tech6,2025-11-10 07:17:11
322,TCKT-10322,Medium,Resolved,Access,WiFi down,Issue details for ticket 322,2025-03-30,2025-04-07,tech36,2025-03-30 07:17:11
323,TCKT-10323,Low,In Progress,Software,Application crash,Issue details for ticket 323,2025-02-07,,tech23,2025-02-07 07:17:11
324,TCKT-10324,Low,Open,Security,WiFi down,Issue details for ticket 324,2025-08-15,2025-08-20,tech17,2025-08-15 07:17:11
325,TCKT-10325,Medium,Closed,Network,System slow,Issue details for ticket 325,2024-12-14,,tech3,2024-12-14 07:17:11
326,TCKT-10326,Medium,In Progress,Software,WiFi down,Issue details for ticket 326,2025-03-27,2025-04-03,tech11,2025-03-27 07:17:11
327,TCKT-10327,High,In Progress,Network,WiFi down,Issue details for ticket 327,2025-07-30,2025-08-14,tech16,2025-07-30 07:17:11
328,TCKT-10328,Medium,In Progress,Hardware,Application crash,Issue details for ticket 328,2025-12-07,2025-12-17,tech26,2025-12-07 07:17:11
329,TCKT-10329,High,Resolved,Access,VPN issue,Issue details for ticket 329,2025-02-18,2025-02-25,tech21,2025-02-18 07:17:11
330,TCKT-10330,Medium,Open,Security,Application crash,Issue details for ticket 330,2024-12-23,2025-01-06,tech19,2024-12-23 07:17:11
331,TCKT-10331,High,Closed,Hardware,Password reset,Issue details for ticket 331,2025-04-12,2025-04-19,tech16,2025-04-12 07:17:11
332,TCKT-10332,Low,In Progress,Security,Application crash,Issue details for ticket 332,2025-05-08,2025-05-15,tech29,2025-05-08 07:17:11
333,TCKT-10333,Medium,In Progress,Network,WiFi down,Issue details for ticket 333,2025-11-17,2025-12-05,tech34,2025-11-17 07:17:11
334,TCKT-10334,Medium,In Progress,Access,Application crash,Issue details for ticket 334,2025-09-09,,tech15,2025-09-09 07:17:11
335,TCKT-10335,High,Resolved,Security,Account locked,Issue details for ticket 335,2025-05-14,2025-05-31,tech40,2025-05-14 07:17:11
336,TCKT-10336,High,Closed,Access,System slow,Issue details for ticket 336,2025-03-10,2025-03-21,tech3,2025-03-10 07:17:11
337,TCKT-10337,Low,Closed,Security,WiFi down,Issue details for ticket 337,2025-10-10,2025-10-27,tech2,2025-10-10 07:17:11
338,TCKT-10338,Low,In Progress,Access,VPN issue,Issue details for ticket 338,2025-05-16,2025-05-30,tech31,2025-05-16 07:17:11
339,TCKT-10339,High,Closed,Access,Account locked,Issue details for ticket 339,2025-08-16,2025-08-28,tech9,2025-08-16 07:17:11
340,TCKT-10340,Low,Closed,Network,Password reset,Issue details for ticket 340,2025-01-22,2025-02-02,tech37,2025-01-22 07:17:11
341,TCKT-10341,Medium,Closed,Access,Password reset,Issue details for ticket 341,2025-04-22,2025-04-29,tech2,2025-04-22 07:17:11
342,TCKT-10342,Medium,Resolved,Access,Laptop not starting,Issue details for ticket 342,2025-04-25,2025-05-07,tech34,2025-04-25 07:17:11
343,TCKT-10343,Medium,In Progress,Hardware,VPN issue,Issue details for ticket 343,2025-10-09,2025-10-14,tech29,2025-10-09 07:17:11
344,TCKT-10344,Low,In Progress,Security,Password reset,Issue details for ticket 344,2025-06-19,2025-06-23,tech14,2025-06-19 07:17:11
345,TCKT-10345,High,In Progress,Hardware,VPN issue,Issue details for ticket 345,2025-08-29,2025-09-18,tech18,2025-08-29 07:17:11
346,TCKT-10346,Urgent,In Progress,Security,Application crash,Issue details for ticket 346,2025-07-20,,tech22,2025-07-20 07:17:11
347,TCKT-10347,High,Resolved,Software,VPN issue,Issue details for ticket 347,2025-09-04,2025-09-13,tech25,2025-09-04 07:17:11
348,TCKT-10348,Medium,In Progress,Software,WiFi down,Issue details for ticket 348,2025-04-25,2025-04-27,tech22,2025-04-25 07:17:11
349,TCKT-10349,Low,Resolved,Hardware,System slow,Issue details for ticket 349,2025-06-21,2025-06-25,tech30,2025-06-21 07:17:11
350,TCKT-10350,High,In Progress,Hardware,Password reset,Issue details for ticket 350,2025-11-06,,tech12,2025-11-06 07:17:11
351,TCKT-10351,Urgent,Open,Access,System slow,Issue details for ticket 351,2025-07-28,2025-07-30,tech21,2025-07-28 07:17:11
352,TCKT-10352,High,Closed,Software,Password reset,Issue details for ticket 352,2025-11-23,2025-11-29,tech22,2025-11-23 07:17:11
353,TCKT-10353,Medium,Resolved,Security,Laptop not starting,Issue details for ticket 353,2025-09-11,2025-09-12,tech5,2025-09-11 07:17:11
354,TCKT-10354,Medium,In Progress,Security,System slow,Issue details for ticket 354,2025-04-29,2025-05-05,tech18,2025-04-29 07:17:11
355,TCKT-10355,Low,Closed,Network,Account locked,Issue details for ticket 355,2025-01-06,,tech23,2025-01-06 07:17:11
356,TCKT-10356,Low,Open,Network,Account locked,Issue details for ticket 356,2025-08-02,2025-08-22,tech17,2025-08-02 07:17:11
357,TCKT-10357,High,Closed,Access,Password reset,Issue details for ticket 357,2025-02-26,2025-03-12,tech35,2025-02-26 07:17:11
358,TCKT-10358,Low,In Progress,Security,Email not syncing,Issue details for ticket 358,2024-12-20,2025-01-07,tech7,2024-12-20 07:17:11
359,TCKT-10359,High,Closed,Security,VPN issue,Issue details for ticket 359,2025-02-14,2025-02-15,tech1,2025-02-14 07:17:11
360,TCKT-10360,Urgent,Closed,Software,Email not syncing,Issue details for ticket 360,2025-10-21,,tech14,2025-10-21 07:17:11
361,TCKT-10361,High,Open,Hardware,Account locked,Issue details for ticket 361,2025-05-21,2025-06-01,tech33,2025-05-21 07:17:11
362,TCKT-10362,Medium,Closed,Access,Password reset,Issue details for ticket 362,2024-12-08,2024-12-28,tech24,2024-12-08 07:17:11
363,TCKT-10363,Medium,Resolved,Access,Laptop not starting,Issue details for ticket 363,2025-03-24,2025-04-12,tech40,2025-03-24 07:17:11
364,TCKT-10364,Medium,Resolved,Software,Account locked,Issue details for ticket 364,2025-09-14,,tech24,2025-09-14 07:17:11
365,TCKT-10365,Medium,Resolved,Access,WiFi down,Issue details for ticket 365,2025-10-07,2025-10-15,tech35,2025-10-07 07:17:11
366,TCKT-10366,Urgent,Resolved,Network,Password reset,Issue details for ticket 366,2025-03-20,2025-03-31,tech29,2025-03-20 07:17:11
367,TCKT-10367,Low,Open,Access,Password reset,Issue details for ticket 367,2025-02-28,2025-03-05,tech31,2025-02-28 07:17:11
368,TCKT-10368,Urgent,In Progress,Security,Password reset,Issue details for ticket 368,2025-07-08,2025-07-18,tech27,2025-07-08 07:17:11
369,TCKT-10369,Medium,In Progress,Hardware,Application crash,Issue details for ticket 369,2025-01-24,2025-02-07,tech32,2025-01-24 07:17:11
370,TCKT-10370,Medium,In Progress,Security,System slow,Issue details for ticket 370,2025-07-07,2025-07-19,tech33,2025-07-07 07:17:11
371,TCKT-10371,Urgent,Open,Software,VPN issue,Issue details for ticket 371,2025-07-08,2025-07-12,tech18,2025-07-08 07:17:11
372,TCKT-10372,High,In Progress,Hardware,WiFi down,Issue details for ticket 372,2025-01-04,2025-01-09,tech34,2025-01-04 07:17:11
373,TCKT-10373,Low,Closed,Hardware,Application crash,Issue details for ticket 373,2025-07-22,,tech18,2025-07-22 07:17:11
374,TCKT-10374,High,Resolved,Software,Application crash,Issue details for ticket 374,2025-08-25,2025-08-28,tech7,2025-08-25 07:17:11
375,TCKT-10375,Medium,In Progress,Network,Email not syncing,Issue details for ticket 375,2024-12-30,2025-01-16,tech20,2024-12-30 07:17:11
376,TCKT-10376,Medium,Closed,Security,System slow,Issue details for ticket 376,2025-04-15,2025-04-17,tech38,2025-04-15 07:17:11
377,TCKT-10377,Medium,Closed,Network,Application crash,Issue details for ticket 377,2025-09-15,2025-09-18,tech37,2025-09-15 07:17:11
378,TCKT-10378,Medium,Closed,Network,Password reset,Issue details for ticket 378,2025-08-03,,tech36,2025-08-03 07:17:11
379,TCKT-10379,Urgent,Closed,Security,Laptop not starting,Issue details for ticket 379,2025-09-30,2025-10-18,tech17,2025-09-30 07:17:11
380,TCKT-10380,High,Resolved,Hardware,Password reset,Issue details for ticket 380,2025-05-23,2025-06-04,tech22,2025-05-23 07:17:11
381,TCKT-10381,Low,Closed,Security,Password reset,Issue details for ticket 381,2025-08-20,,tech37,2025-08-20 07:17:11
382,TCKT-10382,High,Closed,Network,System slow,Issue details for ticket 382,2025-03-30,2025-04-16,tech10,2025-03-30 07:17:11
383,TCKT-10383,Low,In Progress,Access,Account locked,Issue details for ticket 383,2025-05-27,2025-06-08,tech25,2025-05-27 07:17:11
384,TCKT-10384,High,In Progress,Security,Application crash,Issue details for ticket 384,2025-08-07,2025-08-22,tech15,2025-08-07 07:17:11
385,TCKT-10385,Low,Resolved,Network,VPN issue,Issue details for ticket 385,2025-08-06,2025-08-22,tech31,2025-08-06 07:17:11
386,TCKT-10386,Urgent,Open,Security,Email not syncing,Issue details for ticket 386,2025-02-20,2025-02-28,tech28,2025-02-20 07:17:11
387,TCKT-10387,Low,Closed,Security,Laptop not starting,Issue details for ticket 387,2025-08-27,,tech13,2025-08-27 07:17:11
388,TCKT-10388,Urgent,Resolved,Network,WiFi down,Issue details for ticket 388,2025-02-16,2025-02-17,tech7,2025-02-16 07:17:11
389,TCKT-10389,Urgent,Closed,Hardware,Account locked,Issue details for ticket 389,2025-08-20,2025-09-05,tech19,2025-08-20 07:17:11
390,TCKT-10390,Medium,Open,Access,Password reset,Issue details for ticket 390,2025-01-16,2025-01-19,tech21,2025-01-16 07:17:11
391,TCKT-10391,Urgent,Open,Software,Email not syncing,Issue details for ticket 391,2025-07-26,2025-08-13,tech1,2025-07-26 07:17:11
392,TCKT-10392,Medium,In Progress,Access,VPN issue,Issue details for ticket 392,2025-09-05,,tech10,2025-09-05 07:17:11
393,TCKT-10393,Medium,Resolved,Hardware,Email not syncing,Issue details for ticket 393,2025-02-13,2025-02-21,tech26,2025-02-13 07:17:11
394,TCKT-10394,High,Resolved,Network,VPN issue,Issue details for ticket 394,2025-06-04,2025-06-22,tech27,2025-06-04 07:17:11
395,TCKT-10395,Urgent,In Progress,Software,VPN issue,Issue details for ticket 395,2025-08-25,2025-08-29,tech14,2025-08-25 07:17:11
396,TCKT-10396,Urgent,Resolved,Network,Account locked,Issue details for ticket 396,2025-05-11,2025-05-30,tech2,2025-05-11 07:17:11
397,TCKT-10397,Urgent,Open,Software,Application crash,Issue details for ticket 397,2024-12-15,2025-01-02,tech8,2024-12-15 07:17:11
398,TCKT-10398,Medium,Open,Hardware,Email not syncing,Issue details for ticket 398,2025-11-10,2025-11-25,tech32,2025-11-10 07:17:11
399,TCKT-10399,Urgent,Resolved,Software,Password reset,Issue details for ticket 399,2025-01-06,2025-01-11,tech35,2025-01-06 07:17:11
400,TCKT-10400,High,In Progress,Network,Password reset,Issue details for ticket 400,2025-02-11,2025-02-22,tech24,2025-02-11 07:17:11
401,TCKT-10401,Low,Closed,Security,System slow,Issue details for ticket 401,2025-06-24,2025-07-03,tech10,2025-06-24 07:17:11
402,TCKT-10402,Low,Closed,Hardware,Password reset,Issue details for ticket 402,2025-10-09,2025-10-23,tech20,2025-10-09 07:17:11
403,TCKT-10403,Low,Closed,Access,Laptop not starting,Issue details for ticket 403,2025-09-27,2025-10-02,tech3,2025-09-27 07:17:11
404,TCKT-10404,Medium,Open,Access,System slow,Issue details for ticket 404,2025-11-28,2025-12-04,tech35,2025-11-28 07:17:11
405,TCKT-10405,Urgent,In Progress,Network,Email not syncing,Issue details for ticket 405,2025-07-25,2025-08-06,tech28,2025-07-25 07:17:11
406,TCKT-10406,Low,Open,Security,WiFi down,Issue details for ticket 406,2025-10-03,2025-10-14,tech33,2025-10-03 07:17:11
407,TCKT-10407,Medium,Open,Security,WiFi down,Issue details for ticket 407,2025-04-24,2025-04-28,tech7,2025-04-24 07:17:11
408,TCKT-10408,Medium,Closed,Access,Email not syncing,Issue details for ticket 408,2025-07-09,,tech15,2025-07-09 07:17:11
409,TCKT-10409,High,Open,Access,Laptop not starting,Issue details for ticket 409,2025-03-04,2025-03-23,tech19,2025-03-04 07:17:11
410,TCKT-10410,High,Closed,Security,Account locked,Issue details for ticket 410,2025-02-18,2025-02-20,tech12,2025-02-18 07:17:11
411,TCKT-10411,Urgent,Open,Security,System slow,Issue details for ticket 411,2025-11-27,2025-12-06,tech4,2025-11-27 07:17:11
