id,title,severity,status,date
528,Incident 528: Unauthorized Access,high,resolved,2023-04-04
529,Incident 529: Phishing,medium,closed,2023-08-09
530,Incident 530: DDoS,low,open,2024-08-28
531,Incident 531: Phishing,critical,closed,2024-11-21
532,Incident 532: Phishing,high,closed,2023-04-29
533,Incident 533: DDoS,critical,open,2023-01-24
534,Incident 534: Malware,critical,open,2024-02-07
535,Incident 535: Data Leak,medium,in progress,2023-11-24
536,Incident 536: Phishing,critical,resolved,2023-04-15
537,Incident 537: Phishing,critical,resolved,2023-09-22
538,Incident 538: Unauthorized Access,critical,open,2023-03-15
539,Incident 539: Unauthorized Access,medium,open,2023-04-24
540,Incident 540: DDoS,critical,closed,2023-06-15
541,Incident 541: DDoS,critical,open,2023-04-09
542,Incident 542: DDoS,critical,open,2023-08-24
543,Incident 543: Unauthorized Access,low,open,2024-04-10
544,Incident 544: Unauthorized Access,low,open,2024-05-13
545,Incident 545: Unauthorized Access,low,in progress,2023-07-09
546,Incident 546: Data Leak,medium,closed,2024-06-17
547,Incident 547: Data Leak,medium,resolved,2024-10-17
548,Incident 548: DDoS,critical,open,2024-09-28
549,Incident 549: Data Leak,critical,open,2024-09-01
550,Incident 550: DDoS,high,in progress,2024-11-26
551,Incident 551: Malware,medium,open,2024-09-28
552,Incident 552: Data Leak,low,open,2023-05-01
553,Incident 553: Data Leak,low,in progress,2023-08-08
554,Incident 554: Data Leak,critical,resolved,2024-07-27
555,Incident 555: Unauthorized Access,medium,open,2023-10-30
556,Incident 556: DDoS,medium,open,2023-11-04
557,Incident 557: DDoS,high,open,2024-02-05
558,Incident 558: DDoS,medium,closed,2024-08-24
559,Incident 559: Malware,medium,closed,2023-03-05
560,Incident 560: Data Leak,medium,open,2024-06-21
561,Incident 561: Unauthorized Access,medium,open,2023-04-24
562,Incident 562: DDoS,high,resolved,2023-06-10
563,Incident 563: DDoS,medium,closed,2024-01-30
564,Incident 564: Phishing,low,in progress,2023-11-03
565,Incident 565: DDoS,critical,in progress,2024-01-30
566,Incident 566: DDoS,medium,resolved,2023-07-18
567,Incident 567: Data Leak,low,closed,2023-06-25
568,Incident 568: Phishing,low,open,2024-03-31
569,Incident 569: Unauthorized Access,medium,in progress,2023-03-19
570,Incident 570: DDoS,critical,in progress,2023-02-25
571,Incident 571: DDoS,medium,open,2024-05-09
572,Incident 572: Malware,critical,resolved,2024-05-14
573,Incident 573: DDoS,low,resolved,2024-09-23
574,Incident 574: Unauthorized Access,critical,in progress,2024-06-18
575,Incident 575: Data Leak,low,open,2024-03-12
576,Incident 576: DDoS,critical,open,2023-02-20
577,Incident 577: DDoS,critical,in progress,2023-10-17
578,Incident 578: Data Leak,medium,open,2024-11-19
579,Incident 579: Phishing,critical,in progress,2024-04-18
580,Incident 580: Data Leak,medium,open,2023-06-21
581,Incident 581: DDoS,medium,closed,2024-10-28
582,Incident 582: Data Leak,critical,open,2024-06-21
583,Incident 583: DDoS,critical,in progress,2023-12-17
584,Incident 584: Data Leak,low,resolved,2024-05-11
585,Incident 585: Data Leak,high,in progress,2024-03-31
586,Incident 586: Phishing,medium,closed,2023-03-24
587,Incident 587: Data Leak,medium,open,2024-11-23
588,Incident 588: DDoS,critical,resolved,2023-02-14
589,Incident 589: Unauthorized Access,medium,resolved,2024-03-31
590,Incident 590: DDoS,medium,closed,2023-05-29
591,Incident 591: Phishing,high,resolved,2023-10-18
592,Incident 592: Unauthorized Access,high,open,2024-10-03
593,Incident 593: Data Leak,medium,resolved,2023-11-22
594,Incident 594: Data Leak,high,in progress,2024-04-27
595,Incident 595: DDoS,critical,resolved,2024-01-18
596,Incident 596: Unauthorized Access,critical,closed,2023-05-17
597,Incident 597: Unauthorized Access,medium,open,2024-10-04
598,Incident 598: DDoS,medium,in progress,2024-03-24
599,Incident 599: Phishing,critical,closed,2023-06-19
600,Incident 600: Data Leak,low,in progress,2024-07-23
601,Incident 601: DDoS,high,in progress,2024-06-12
602,Incident 602: Phishing,critical,closed,2024-10-05
603,Incident 603: Unauthorized Access,medium,open,2024-10-26
604,Incident 604: Phishing,low,in progress,2024-07-28
605,Incident 605: DDoS,critical,resolved,2023-06-12
606,Incident 606: DDoS,low,open,2024-08-05
607,Incident 607: Unauthorized Access,low,closed,2023-08-27
608,Incident 608: Malware,critical,in progress,2024-09-19
609,Incident 609: Malware,low,resolved,2023-05-16
610,Incident 610: Malware,medium,resolved,2024-08-02
611,Incident 611: DDoS,low,open,2023-04-15
612,Incident 612: Data Leak,critical,closed,2024-08-20
613,Incident 613: Unauthorized Access,medium,in progress,2023-05-21
614,Incident 614: Phishing,critical,closed,2023-08-28
615,Incident 615: DDoS,high,in progress,2023-09-07
616,Incident 616: Data Leak,medium,in progress,2023-05-26
617,Incident 617: Phishing,medium,resolved,2023-07-07
618,Incident 618: Unauthorized Access,critical,closed,2023-04-18
619,Incident 619: Unauthorized Access,critical,open,2023-12-13
620,Incident 620: Data Leak,low,open,2023-12-16
621,Incident 621: Unauthorized Access,low,open,2024-07-12
622,Incident 622: Unauthorized Access,high,closed,2023-08-06
623,Incident 623: DDoS,low,in progress,2023-08-20
624,Incident 624: Unauthorized Access,high,closed,2023-04-12
625,Incident 625: Malware,high,resolved,2023-01-18
626,Incident 626: Unauthorized Access,medium,resolved,2024-08-29
627,Incident 627: Phishing,critical,closed,2023-01-30
628,Incident 628: Unauthorized Access,low,in progress,2023-05-29
629,Incident 629: Phishing,high,in progress,2023-09-30
630,Incident 630: Malware,critical,resolved,2023-04-29
631,Incident 631: Unauthorized Access,critical,closed,2024-03-09
632,Incident 632: DDoS,critical,in progress,2023-10-10
633,Incident 633: Data Leak,medium,in progress,2024-08-19
634,Incident 634: Malware,low,resolved,2024-07-06
635,Incident 635: Phishing,low,open,2024-10-21
636,Incident 636: Unauthorized Access,medium,resolved,2023-08-15
637,Incident 637: DDoS,low,resolved,2023-11-08
638,Incident 638: Malware,high,in progress,2024-04-11
639,Incident 639: Data Leak,high,open,2023-03-29
640,Incident 640: Data Leak,high,open,2023-03-08
641,Incident 641: Malware,low,closed,2024-11-29
642,Incident 642: Phishing,low,open,2023-01-22
643,Incident 643: DDoS,low,in progress,2023-01-09
644,Incident 644: Unauthorized Access,critical,open,2023-05-02
645,Incident 645: DDoS,low,in progress,2023-03-29
646,Incident 646: Unauthorized Access,critical,closed,2024-03-31
647,Incident 647: Data Leak,low,open,2024-02-09
648,Incident 648: Unauthorized Access,critical,in progress,2023-10-10
649,Incident 649: Unauthorized Access,critical,in progress,2023-06-30
650,Incident 650: DDoS,low,resolved,2024-06-12
651,Incident 651: Data Leak,medium,closed,2023-02-18
652,Incident 652: Data Leak,high,in progress,2023-05-13
653,Incident 653: Unauthorized Access,medium,in progress,2023-01-19
654,Incident 654: Data Leak,critical,resolved,2023-03-07
655,Incident 655: Phishing,critical,closed,2023-08-19
656,Incident 656: Data Leak,high,closed,2024-07-09
657,Incident 657: Malware,critical,closed,2024-04-24
658,Incident 658: DDoS,critical,in progress,2023-11-01
659,Incident 659: DDoS,critical,open,2023-12-08
660,Incident 660: Malware,critical,closed,2023-05-29
661,Incident 661: Unauthorized Access,high,resolved,2024-08-15
662,Incident 662: Unauthorized Access,low,open,2023-02-07
663,Incident 663: Malware,high,in progress,2023-02-02
664,Incident 664: Phishing,medium,closed,2024-01-18
665,Incident 665: DDoS,high,open,2023-07-22
666,Incident 666: Malware,low,in progress,2023-02-24
667,Incident 667: Unauthorized Access,low,in progress,2024-07-27
668,Incident 668: DDoS,high,open,2024-06-21
669,Incident 669: DDoS,critical,closed,2024-09-06
670,Incident 670: Data Leak,low,open,2023-01-18
671,Incident 671: Malware,low,resolved,2023-11-14
672,Incident 672: Phishing,critical,closed,2024-03-21
673,Incident 673: Unauthorized Access,critical,open,2024-03-17
674,Incident 674: Data Leak,critical,in progress,2024-09-23
675,Incident 675: DDoS,low,open,2024-05-06
676,Incident 676: Malware,low,resolved,2023-12-12
677,Incident 677: Phishing,low,open,2024-06-15
678,Incident 678: DDoS,critical,open,2024-01-31
679,Incident 679: Data Leak,critical,open,2024-05-21
680,Incident 680: Data Leak,critical,closed,2024-01-25
681,Incident 681: DDoS,high,resolved,2023-05-27
682,Incident 682: Unauthorized Access,low,resolved,2024-10-29
683,Incident 683: Unauthorized Access,low,open,2024-10-01
684,Incident 684: Data Leak,critical,resolved,2023-05-20
685,Incident 685: DDoS,high,closed,2024-08-07
686,Incident 686: Unauthorized Access,medium,resolved,2024-10-02
687,Incident 687: Unauthorized Access,low,resolved,2024-02-28
688,Incident 688: Malware,low,open,2023-11-08
689,Incident 689: Unauthorized Access,critical,in progress,2024-09-27
690,Incident 690: Unauthorized Access,low,closed,2024-10-14
691,Incident 691: Unauthorized Access,low,resolved,2023-10-14
692,Incident 692: Malware,high,open,2024-02-22
693,Incident 693: Data Leak,critical,open,2023-10-16
694,Incident 694: DDoS,low,resolved,2023-07-02
695,Incident 695: Unauthorized Access,low,closed,2024-09-28
696,Incident 696: Malware,low,resolved,2023-08-06
697,Incident 697: Unauthorized Access,medium,in progress,2023-04-02
698,Incident 698: Malware,low,open,2024-04-18
699,Incident 699: Unauthorized Access,critical,open,2024-01-26
700,Incident 700: Phishing,medium,closed,2024-08-16
701,Incident 701: DDoS,critical,resolved,2024-02-01
702,Incident 702: Data Leak,high,closed,2023-03-27
703,Incident 703: Data Leak,critical,closed,2023-08-27
704,Incident 704: Unauthorized Access,critical,in progress,2024-06-13
705,Incident 705: Data Leak,low,resolved,2024-10-29
706,Incident 706: DDoS,high,in progress,2024-04-23
707,Incident 707: Data Leak,low,resolved,2023-08-07
708,Incident 708: Unauthorized Access,low,closed,2024-06-02
709,Incident 709: DDoS,medium,open,2023-03-05
710,Incident 710: Phishing,critical,closed,2023-09-29
711,Incident 711: Unauthorized Access,critical,in progress,2024-03-11
712,Incident 712: Malware,critical,resolved,2023-04-09
713,Incident 713: Data Leak,medium,in progress,2024-06-18
714,Incident 714: Data Leak,low,closed,2024-01-13
715,Incident 715: Phishing,low,closed,2023-04-25
716,Incident 716: Malware,high,open,2024-11-21
717,Incident 717: Malware,critical,open,2024-01-07
718,Incident 718: Phishing,low,open,2023-07-18
719,Incident 719: Unauthorized Access,medium,open,2024-04-29
720,Incident 720: Unauthorized Access,low,open,2023-06-29
721,Incident 721: Data Leak,critical,in progress,2024-08-28
722,Incident 722: Data Leak,high,in progress,2023-07-28
723,Incident 723: Data Leak,high,closed,2023-09-21
724,Incident 724: Unauthorized Access,high,in progress,2024-02-19
725,Incident 725: DDoS,critical,in progress,2024-10-08
726,Incident 726: DDoS,critical,in progress,2024-04-11
727,Incident 727: Unauthorized Access,high,open,2024-05-20
728,Incident 728: DDoS,low,open,2024-08-18
729,Incident 729: Phishing,medium,open,2024-08-10
730,Incident 730: Malware,low,in progress,2023-05-03
731,Incident 731: Malware,medium,in progress,2024-07-02
732,Incident 732: Data Leak,medium,in progress,2023-08-26
733,Incident 733: Malware,high,in progress,2023-10-14
734,Incident 734: Data Leak,critical,resolved,2024-07-05
735,Incident 735: Unauthorized Access,medium,closed,2023-08-27
736,Incident 736: Malware,medium,in progress,2023-05-03
737,Incident 737: Data Leak,medium,in progress,2024-03-25
738,Incident 738: Unauthorized Access,high,open,2023-11-01
739,Incident 739: Phishing,high,closed,2024-03-19
740,Incident 740: DDoS,medium,closed,2023-08-24
741,Incident 741: DDoS,critical,closed,2023-05-01
742,Incident 742: DDoS,low,closed,2024-09-15
743,Incident 743: Data Leak,critical,in progress,2024-09-04
744,Incident 744: Malware,low,closed,2023-04-05
745,Incident 745: Phishing,low,closed,2024-02-11
746,Incident 746: Malware,high,open,2023-12-07
747,Incident 747: Phishing,low,open,2024-03-21
748,Incident 748: Phishing,high,in progress,2024-11-22
749,Incident 749: Malware,critical,resolved,2024-11-14
750,Incident 750: Data Leak,critical,resolved,2023-08-08
751,Incident 751: Unauthorized Access,low,in progress,2024-05-14
752,Incident 752: Unauthorized Access,critical,resolved,2023-11-06
753,Incident 753: Malware,critical,closed,2024-01-28
754,Incident 754: Unauthorized Access,low,in progress,2023-05-05
755,Incident 755: Malware,low,open,2023-06-24
756,Incident 756: Unauthorized Access,medium,resolved,2023-06-21
757,Incident 757: Data Leak,medium,closed,2024-04-13
758,Incident 758: Data Leak,low,closed,2024-07-08
759,Incident 759: Phishing,medium,open,2023-10-19
760,Incident 760: Unauthorized Access,critical,open,2024-11-25
761,Incident 761: Malware,low,closed,2024-10-26
762,Incident 762: DDoS,critical,open,2023-12-14
763,Incident 763: Data Leak,medium,closed,2024-06-19
764,Incident 764: Data Leak,high,in progress,2023-04-13
765,Incident 765: Malware,low,in progress,2024-08-18
766,Incident 766: Malware,high,closed,2023-10-02
767,Incident 767: DDoS,low,resolved,2023-09-24
768,Incident 768: Data Leak,medium,resolved,2024-03-29
769,Incident 769: DDoS,high,resolved,2024-07-27
770,Incident 770: Phishing,high,in progress,2023-04-06
771,Incident 771: Unauthorized Access,medium,closed,2023-07-23
772,Incident 772: Data Leak,critical,closed,2023-03-19
773,Incident 773: Data Leak,critical,closed,2023-06-07
774,Incident 774: Malware,high,open,2024-10-11
775,Incident 775: Unauthorized Access,low,open,2023-12-21
776,Incident 776: Phishing,critical,in progress,2023-01-06
777,Incident 777: Unauthorized Access,critical,resolved,2023-06-17
778,Incident 778: Phishing,high,open,2023-10-11
779,Incident 779: DDoS,medium,closed,2023-05-15
780,Incident 780: Unauthorized Access,high,open,2024-04-05
781,Incident 781: Unauthorized Access,medium,open,2024-01-28
782,Incident 782: Phishing,high,closed,2024-05-06
783,Incident 783: Unauthorized Access,high,resolved,2023-10-16
784,Incident 784: Phishing,low,open,2023-11-22
785,Incident 785: DDoS,high,resolved,2024-09-19
786,Incident 786: Malware,low,in progress,2023-11-11
787,Incident 787: Unauthorized Access,high,closed,2023-11-21
788,Incident 788: Phishing,high,open,2024-10-12
789,Incident 789: DDoS,low,closed,2024-11-27
790,Incident 790: DDoS,high,open,2023-12-15
791,Incident 791: Phishing,low,in progress,2024-05-15
792,Incident 792: Malware,medium,resolved,2024-06-23
793,Incident 793: Phishing,high,in progress,2024-07-18
794,Incident 794: Phishing,medium,resolved,2023-07-17
795,Incident 795: Phishing,critical,resolved,2024-03-08
796,Incident 796: Unauthorized Access,high,resolved,2023-06-02
797,Incident 797: DDoS,critical,open,2024-08-03
798,Incident 798: Data Leak,critical,in progress,2024-02-01
799,Incident 799: Unauthorized Access,low,in progress,2024-08-31
800,Incident 800: Data Leak,high,open,2024-01-26
801,Incident 801: Unauthorized Access,high,in progress,2024-04-16
802,Incident 802: Malware,high,resolved,2023-06-21
803,Incident 803: Malware,critical,resolved,2024-08-31
804,Incident 804: Unauthorized Access,high,closed,2023-03-16
805,Incident 805: DDoS,high,open,2023-09-22
806,Incident 806: Unauthorized Access,medium,resolved,2023-03-20
807,Incident 807: Unauthorized Access,low,open,2023-12-14
808,Incident 808: Phishing,critical,resolved,2023-01-23
809,Incident 809: Unauthorized Access,high,in progress,2023-11-07
810,Incident 810: Unauthorized Access,low,resolved,2024-03-17
811,Incident 811: Data Leak,high,open,2023-04-19
812,Incident 812: Malware,medium,resolved,2024-06-17
813,Incident 813: Unauthorized Access,critical,resolved,2024-06-11
814,Incident 814: Malware,low,open,2024-10-07
815,Incident 815: Unauthorized Access,critical,resolved,2023-03-31
816,Incident 816: Malware,low,in progress,2023-08-02
817,Incident 817: Phishing,critical,resolved,2023-03-17
818,Incident 818: Unauthorized Access,low,open,2024-05-17
819,Incident 819: DDoS,critical,open,2023-11-27
820,Incident 820: DDoS,high,open,2023-07-27
821,Incident 821: Unauthorized Access,low,open,2023-03-28
822,Incident 822: Phishing,critical,open,2024-05-05
823,Incident 823: Data Leak,critical,closed,2023-09-15
824,Incident 824: Data Leak,low,in progress,2024-02-17
825,Incident 825: Phishing,medium,resolved,2023-01-22
826,Incident 826: DDoS,critical,closed,2024-03-22
827,Incident 827: Data Leak,high,closed,2024-11-13
828,Incident 828: Unauthorized Access,critical,in progress,2023-02-20
829,Incident 829: DDoS,low,resolved,2024-06-25
830,Incident 830: Phishing,medium,closed,2023-04-13
831,Incident 831: Malware,high,open,2023-05-22
832,Incident 832: Malware,low,open,2024-04-24
833,Incident 833: Data Leak,medium,resolved,2024-04-30
834,Incident 834: Data Leak,critical,closed,2023-06-14
835,Incident 835: Phishing,high,resolved,2023-04-09
836,Incident 836: Data Leak,high,closed,2023-03-12
837,Incident 837: Data Leak,low,closed,2024-02-04
838,Incident 838: Malware,high,resolved,2024-11-02
839,Incident 839: Unauthorized Access,critical,open,2023-03-10
840,Incident 840: Phishing,medium,in progress,2023-01-03
841,Incident 841: Malware,low,resolved,2023-09-21
842,Incident 842: Malware,medium,closed,2024-01-18
843,Incident 843: Data Leak,medium,open,2024-07-05
844,Incident 844: Phishing,low,open,2023-02-05
845,Incident 845: Unauthorized Access,low,open,2023-05-03
846,Incident 846: DDoS,high,resolved,2024-04-16
847,Incident 847: Unauthorized Access,medium,resolved,2024-11-25
848,Incident 848: Unauthorized Access,high,open,2024-05-13
849,Incident 849: Phishing,critical,resolved,2024-04-30
850,Incident 850: Phishing,medium,open,2024-07-04
851,Incident 851: Unauthorized Access,critical,open,2023-08-02
852,Incident 852: Malware,medium,in progress,2024-07-28
853,Incident 853: Phishing,critical,closed,2024-06-30
854,Incident 854: DDoS,low,closed,2024-02-07
855,Incident 855: Malware,critical,closed,2024-08-05
856,Incident 856: Data Leak,medium,in progress,2024-07-31
857,Incident 857: Phishing,high,resolved,2023-08-06
858,Incident 858: DDoS,medium,closed,2024-10-10
859,Incident 859: Unauthorized Access,medium,open,2023-06-29
860,Incident 860: Phishing,low,open,2023-04-23
861,Incident 861: DDoS,low,closed,2023-01-10
862,Incident 862: Phishing,medium,resolved,2023-06-10
863,Incident 863: Malware,critical,in progress,2023-05-25
864,Incident 864: Malware,critical,open,2023-03-24
865,Incident 865: Unauthorized Access,critical,open,2024-04-03
866,Incident 866: Unauthorized Access,low,resolved,2024-03-24
867,Incident 867: Phishing,medium,resolved,2023-03-29
868,Incident 868: Unauthorized Access,critical,in progress,2023-04-27
869,Incident 869: Phishing,medium,in progress,2024-03-30
870,Incident 870: DDoS,low,open,2023-06-04
871,Incident 871: Malware,low,in progress,2024-10-28
872,Incident 872: Phishing,high,in progress,2024-07-23
873,Incident 873: Malware,critical,in progress,2023-11-03
874,Incident 874: DDoS,low,closed,2024-10-07
875,Incident 875: Unauthorized Access,high,closed,2024-05-09
876,Incident 876: Malware,medium,closed,2024-09-10
877,Incident 877: Unauthorized Access,high,closed,2023-03-13
878,Incident 878: Unauthorized Access,critical,in progress,2023-11-06
879,Incident 879: Unauthorized Access,low,open,2023-06-24
880,Incident 880: Malware,high,resolved,2024-07-30
881,Incident 881: Malware,low,open,2024-04-11
882,Incident 882: Phishing,low,open,2024-09-30
883,Incident 883: Unauthorized Access,critical,in progress,2023-02-08
884,Incident 884: DDoS,medium,open,2024-11-18
885,Incident 885: Phishing,high,open,2023-11-09
886,Incident 886: DDoS,high,in progress,2023-06-18
887,Incident 887: Malware,critical,in progress,2024-04-08
888,Incident 888: DDoS,high,in progress,2024-09-28
889,Incident 889: DDoS,medium,open,2023-03-12
890,Incident 890: DDoS,low,in progress,2023-05-01
891,Incident 891: Phishing,low,closed,2023-12-12
892,Incident 892: Unauthorized Access,critical,open,2024-01-11
893,Incident 893: DDoS,low,resolved,2023-06-06
894,Incident 894: Malware,critical,in progress,2023-02-03
895,Incident 895: Malware,low,closed,2023-05-27
896,Incident 896: Phishing,critical,open,2023-09-20
897,Incident 897: DDoS,medium,in progress,2023-06-08
898,Incident 898: Data Leak,critical,open,2024-01-10
899,Incident 899: Unauthorized Access,high,closed,2024-04-12
900,Incident 900: Unauthorized Access,critical,closed,2023-06-12
901,Incident 901: Phishing,critical,closed,2024-10-23
902,Incident 902: DDoS,medium,resolved,2023-10-08
903,Incident 903: Data Leak,critical,closed,2023-11-24
904,Incident 904: DDoS,critical,resolved,2023-06-18
905,Incident 905: Phishing,high,open,2024-04-05
906,Incident 906: Phishing,low,open,2023-12-27
907,Incident 907: Phishing,critical,in progress,2024-10-16
908,Incident 908: Data Leak,low,closed,2023-12-05
909,Incident 909: Malware,medium,open,2024-03-05
910,Incident 910: Unauthorized Access,high,resolved,2023-11-28
911,Incident 911: Unauthorized Access,critical,in progress,2023-06-26
912,Incident 912: Phishing,critical,in progress,2023-06-02
913,Incident 913: Unauthorized Access,low,resolved,2024-06-07
914,Incident 914: Phishing,critical,closed,2023-03-22
915,Incident 915: Unauthorized Access,critical,in progress,2024-10-22
916,Incident 916: DDoS,critical,open,2023-10-22
917,Incident 917: Data Leak,low,in progress,2024-08-24
918,Incident 918: Malware,critical,resolved,2024-08-04
919,Incident 919: DDoS,critical,resolved,2023-04-21
920,Incident 920: Data Leak,low,resolved,2023-07-22
921,Incident 921: DDoS,critical,closed,2023-08-02
922,Incident 922: Malware,high,in progress,2024-01-03
923,Incident 923: Malware,low,in progress,2024-03-22
924,Incident 924: Data Leak,low,open,2023-12-26
925,Incident 925: Phishing,critical,open,2024-10-28
926,Incident 926: Unauthorized Access,high,closed,2023-05-23
927,Incident 927: Unauthorized Access,low,open,2023-09-13
928,Incident 928: Unauthorized Access,high,resolved,2024-02-01
929,Incident 929: Data Leak,medium,in progress,2023-08-02
930,Incident 930: Malware,low,closed,2023-02-28
931,Incident 931: DDoS,medium,open,2023-12-26
932,Incident 932: Unauthorized Access,low,resolved,2024-06-09
933,Incident 933: Malware,high,resolved,2023-08-11
934,Incident 934: Unauthorized Access,high,resolved,2023-01-21
935,Incident 935: Unauthorized Access,critical,closed,2023-02-12
936,Incident 936: DDoS,low,resolved,2023-08-09
937,Incident 937: Phishing,low,open,2023-08-25
938,Incident 938: Phishing,low,resolved,2024-04-23
939,Incident 939: Data Leak,low,resolved,2023-07-28
940,Incident 940: Phishing,critical,in progress,2023-02-03
941,Incident 941: Unauthorized Access,critical,in progress,2024-03-22
942,Incident 942: Unauthorized Access,medium,open,2023-10-26
943,Incident 943: DDoS,medium,closed,2024-03-04
944,Incident 944: Data Leak,high,closed,2023-02-05
945,Incident 945: Malware,medium,open,2024-08-26
946,Incident 946: DDoS,critical,resolved,2023-02-19
947,Incident 947: DDoS,critical,closed,2023-11-14
948,Incident 948: Data Leak,critical,in progress,2023-06-23
949,Incident 949: Malware,critical,open,2024-04-28
950,Incident 950: DDoS,low,resolved,2024-09-18
951,Incident 951: Data Leak,medium,closed,2023-08-13
952,Incident 952: DDoS,critical,in progress,2024-05-11
953,Incident 953: DDoS,critical,resolved,2024-10-27
954,Incident 954: Malware,critical,resolved,2024-10-23
955,Incident 955: Unauthorized Access,medium,closed,2023-04-29
956,Incident 956: DDoS,high,open,2024-01-01
957,Incident 957: Unauthorized Access,critical,open,2024-05-20
958,Incident 958: Unauthorized Access,medium,in progress,2023-12-19
959,Incident 959: Phishing,medium,open,2024-09-10
960,Incident 960: Phishing,low,resolved,2023-08-14
961,Incident 961: Unauthorized Access,low,closed,2024-02-19
962,Incident 962: DDoS,critical,open,2023-07-25
963,Incident 963: Malware,low,resolved,2024-09-24
964,Incident 964: DDoS,high,in progress,2024-01-11
965,Incident 965: Malware,critical,open,2024-10-05
966,Incident 966: Data Leak,critical,open,2023-05-13
967,Incident 967: Data Leak,medium,open,2023-01-27
968,Incident 968: Unauthorized Access,low,closed,2023-09-26
969,Incident 969: Malware,high,in progress,2023-07-14
970,Incident 970: DDoS,critical,resolved,2023-02-22
971,Incident 971: Unauthorized Access,high,closed,2024-01-05
972,Incident 972: Malware,low,resolved,2023-02-15
973,Incident 973: Malware,low,in progress,2023-06-06
974,Incident 974: DDoS,low,open,2024-04-29
975,Incident 975: Data Leak,high,in progress,2023-01-20
976,Incident 976: Data Leak,critical,open,2024-09-03
977,Incident 977: Unauthorized Access,high,in progress,2024-10-04
978,Incident 978: Unauthorized Access,low,closed,2023-01-07
979,Incident 979: Malware,critical,closed,2023-08-25
980,Incident 980: Malware,critical,open,2023-12-01
981,Incident 981: Malware,high,closed,2024-05-11
982,Incident 982: Phishing,critical,open,2024-07-15
983,Incident 983: Data Leak,medium,closed,2023-02-18
984,Incident 984: DDoS,low,in progress,2023-10-03
985,Incident 985: Unauthorized Access,low,resolved,2024-06-29
986,Incident 986: Phishing,low,open,2024-09-09
987,Incident 987: Malware,medium,closed,2024-07-01
988,Incident 988: Phishing,medium,resolved,2024-11-07
989,Incident 989: Malware,medium,closed,2024-10-12
990,Incident 990: DDoS,low,in progress,2024-01-05
991,Incident 991: Unauthorized Access,medium,open,2023-04-07
992,Incident 992: Data Leak,high,closed,2024-05-01
993,Incident 993: Data Leak,critical,in progress,2023-04-04
994,Incident 994: Phishing,medium,closed,2023-09-11
995,Incident 995: DDoS,high,resolved,2024-03-16
996,Incident 996: Malware,low,open,2023-08-15
997,Incident 997: Unauthorized Access,high,closed,2024-04-30
998,Incident 998: Phishing,high,closed,2023-10-29
999,Incident 999: Data Leak,medium,closed,2023-07-31
1000,Incident 1000: Unauthorized Access,high,in progress,2024-03-27
